7,1,821710745
7,2,843132876
7,3,1892384019
7,4,874497116
7,5,442000138
7,6,451152328
7,7,881064556
7,8,449231550
7,9,59046437
7,10,373613512
8,1,72324801
8,2,889104425
8,3,312853025
8,4,307133230
8,5,1571454551
8,6,452280028
8,7,395381339
8,8,446673013
8,9,1740470893
8,10,8408027255
9,1,155802008
9,2,130899798
9,3,808519557
9,4,874180392
9,5,965907503
9,6,684164981
9,7,913990388
9,8,4889960724
9,9,606009833
9,10,312043309
10,1,1842327321
10,2,8495407744
10,3,140185135
10,4,8483072025
10,5,8432205826
10,6,8484321290
10,7,8432039985
10,8,8408001558
10,9,8423326691
10,10,8408034162
12,1,60182229
12,2,67973063
12,3,425143546
12,4,68803652
12,5,31227114
12,6,67153677
12,7,832304093
12,8,140109127
12,9,689115474
12,10,758201680
14,1,1562884069
14,2,439429900
14,3,590460382
14,4,590445111
14,5,789119579
14,6,689802099
14,7,395940419
14,8,871922312
14,9,679871500
14,10,439208475
16,1,451453832
16,2,1550415328
16,3,812544242
16,4,816866244
16,5,312927630
16,6,878301666
16,7,618098593
16,8,425127753
16,9,380701693
16,10,449223388
17,1,312974140
17,2,61005371
17,3,590974092
17,4,60914270
17,5,310201209
17,6,1576903389
17,7,590344153
17,8,897212355
17,9,1929049307
17,10,440122120
19,1,141803037
19,2,751511927
19,3,679424504
19,4,749916532
19,5,1854793500
19,6,140443363
19,7,1592281400
19,8,60245379
19,9,672317230
19,10,1559724730
20,1,1565123883
20,2,375701117
20,3,880014504
20,4,1556706359
20,5,451122429
20,6,60521570
20,7,646160281
20,8,895948303
20,9,312421028
20,10,1931868123
22,1,3458344675
22,2,3404141423
22,3,3760586104
22,4,3442001803
22,5,3426011778
22,6,3610047127
22,7,3478719615
22,8,3453868641
22,9,3453075633
22,10,3404122631
